10 	 -3.495411 	 1.651222 
60 	 -3.441481 	 0.836365 
110 	 -3.399143 	 0.763054 
160 	 -3.401300 	 0.703962 
210 	 -3.353148 	 0.692561 
260 	 -3.358078 	 0.700749 
310 	 -3.355405 	 0.694775 
360 	 -3.358772 	 0.686163 
410 	 -3.363973 	 0.673701 
460 	 -3.352344 	 0.676788 
510 	 -3.359397 	 0.665509 
560 	 -3.361010 	 0.663595 
610 	 -3.362940 	 0.654683 
660 	 -3.366687 	 0.649645 
710 	 -3.368055 	 0.651955 
760 	 -3.369672 	 0.645287 
810 	 -3.370400 	 0.637522 
860 	 -3.371939 	 0.635740 
910 	 -3.371832 	 0.629538 
960 	 -3.371756 	 0.629534 
10 	 -34.954107 	 16.512224 
60 	 -206.488830 	 50.181879 
110 	 -373.905731 	 83.935923 
160 	 -544.208009 	 112.633915 
210 	 -704.161013 	 145.437820 
260 	 -873.100226 	 182.194703 
310 	 -1040.175685 	 215.380318 
360 	 -1209.157869 	 247.018788 
410 	 -1379.229025 	 276.217285 
460 	 -1542.078438 	 311.322663 
510 	 -1713.292570 	 339.409370 
560 	 -1882.165812 	 371.613407 
610 	 -2051.393403 	 399.356880 
660 	 -2222.013404 	 428.765577 
710 	 -2391.319267 	 462.887811 
760 	 -2560.950687 	 490.418043 
810 	 -2730.023664 	 516.393087 
860 	 -2899.867560 	 546.736179 
910 	 -3068.366871 	 572.879979 
960 	 -3236.885984 	 604.352595 
10 	 -11.053459 	 5.221624 
60 	 -26.657593 	 6.478453 
110 	 -35.650513 	 8.002976 
160 	 -43.023421 	 8.904493 
210 	 -48.591726 	 10.036163 
260 	 -54.147377 	 11.299236 
310 	 -59.078009 	 12.232780 
360 	 -63.728215 	 13.019033 
410 	 -68.115266 	 13.641399 
460 	 -71.899778 	 14.515494 
510 	 -75.865870 	 15.029300 
560 	 -79.536022 	 15.703533 
610 	 -83.058491 	 16.169487 
660 	 -86.491754 	 16.689677 
710 	 -89.744613 	 17.371870 
760 	 -92.895445 	 17.789332 
810 	 -95.923254 	 18.144204 
860 	 -98.884663 	 18.643549 
910 	 -101.715371 	 18.990786 
960 	 -104.470046 	 19.505396 
