T 	 4000 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115900 	 tau 	 5.060000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.963915 	 acc_minus 	 0.887368 	 acc_0 	 0.778429 	
T 	 4500 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115900 	 tau 	 5.060000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.968045 	 acc_minus 	 NaN 	 acc_0 	 0.798419 	
T 	 5000 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115900 	 tau 	 5.060000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.992375 	 acc_minus 	 0.950000 	 acc_0 	 0.839021 	
T 	 5500 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115900 	 tau 	 5.060000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.998039 	 acc_minus 	 0.933333 	 acc_0 	 0.851839 	
T 	 6000 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115900 	 tau 	 5.060000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.968802 	 acc_minus 	 0.898081 	 acc_0 	 0.863296 	
T 	 7000 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115900 	 tau 	 5.060000 	 BBLR_thr 	 0.500000 	 acc_plus 	 1.000000 	 acc_minus 	 0.992593 	 acc_0 	 0.850677 	
T 	 6500 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115900 	 tau 	 5.060000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.967931 	 acc_minus 	 0.919722 	 acc_0 	 0.867532 	
T 	 7500 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115900 	 tau 	 5.060000 	 BBLR_thr 	 0.500000 	 acc_plus 	 1.000000 	 acc_minus 	 0.981349 	 acc_0 	 0.846637 	
T 	 8000 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115900 	 tau 	 5.060000 	 BBLR_thr 	 0.500000 	 acc_plus 	 1.000000 	 acc_minus 	 0.965344 	 acc_0 	 0.870313 	
T 	 8500 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115900 	 tau 	 5.060000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.996491 	 acc_minus 	 0.957522 	 acc_0 	 0.899392 	
T 	 9500 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115900 	 tau 	 5.060000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.998148 	 acc_minus 	 0.939167 	 acc_0 	 0.941239 	
T 	 9000 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115900 	 tau 	 5.060000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.980324 	 acc_minus 	 NaN 	 acc_0 	 0.890125 	
T 	 10000 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115900 	 tau 	 5.060000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.997917 	 acc_minus 	 0.923796 	 acc_0 	 0.933179 	
