T 	 3200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.086667 	 tau 	 5.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.860098 	 err 	 0.117364 	
T 	 3700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.086667 	 tau 	 5.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.880445 	 err 	 0.097927 	
T 	 4200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.086667 	 tau 	 5.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.909540 	 err 	 0.078613 	
T 	 700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100000 	 tau 	 5.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.665032 	 err 	 0.293369 	
T 	 700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.000000 	 tau 	 1.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.000000 	 err 	 0.417233 	
T 	 1200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100000 	 tau 	 5.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.743198 	 err 	 0.219834 	
T 	 1200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.000000 	 tau 	 1.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.000000 	 err 	 0.439668 	
T 	 2200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.000000 	 tau 	 1.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.000000 	 err 	 0.427430 	
T 	 2700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.000000 	 tau 	 1.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.000000 	 err 	 0.444507 	
T 	 1700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100000 	 tau 	 5.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.826684 	 err 	 0.156139 	
T 	 1700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.000000 	 tau 	 1.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.000000 	 err 	 0.428702 	
T 	 4700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.086667 	 tau 	 5.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.919706 	 err 	 0.070273 	
T 	 3200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.000000 	 tau 	 1.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.000000 	 err 	 0.431362 	
T 	 3700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.000000 	 tau 	 1.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.000000 	 err 	 0.405185 	
T 	 2200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100000 	 tau 	 5.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.852378 	 err 	 0.131116 	
T 	 2700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100000 	 tau 	 5.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.888115 	 err 	 0.101800 	
T 	 3200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100000 	 tau 	 5.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.901940 	 err 	 0.081361 	
T 	 4200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.000000 	 tau 	 1.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.000000 	 err 	 0.420900 	
T 	 3700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100000 	 tau 	 5.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.931992 	 err 	 0.063482 	
T 	 4700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.000000 	 tau 	 1.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.000000 	 err 	 0.437411 	
T 	 4200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100000 	 tau 	 5.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.947929 	 err 	 0.049000 	
T 	 700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.072222 	 tau 	 3.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.617177 	 err 	 0.327656 	
T 	 1200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.072222 	 tau 	 3.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.712659 	 err 	 0.254262 	
T 	 1700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.072222 	 tau 	 3.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.773067 	 err 	 0.202618 	
T 	 4700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100000 	 tau 	 5.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.954843 	 err 	 0.046399 	
T 	 2200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.072222 	 tau 	 3.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.774724 	 err 	 0.184104 	
T 	 2700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.072222 	 tau 	 3.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.801392 	 err 	 0.159223 	
T 	 3200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.072222 	 tau 	 3.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.867370 	 err 	 0.114575 	
T 	 3700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.072222 	 tau 	 3.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.884011 	 err 	 0.101082 	
T 	 4200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.072222 	 tau 	 3.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.895895 	 err 	 0.089154 	
T 	 4700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.072222 	 tau 	 3.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.909604 	 err 	 0.076447 	
