T 	 100 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 13 	 3 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.507692 	 acc_minus 	 0.100000 	 acc_0 	 0.973370 	
T 	 100 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 12 	 3 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.500000 	 acc_minus 	 0.166667 	 acc_0 	 0.968108 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 30 	 7 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.633333 	 acc_minus 	 0.685714 	 acc_0 	 0.920859 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 29 	 7 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.668966 	 acc_minus 	 0.742857 	 acc_0 	 0.935366 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 30 	 8 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.683333 	 acc_minus 	 0.675000 	 acc_0 	 0.936420 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 32 	 8 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.637500 	 acc_minus 	 0.550000 	 acc_0 	 0.935625 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 31 	 8 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.654839 	 acc_minus 	 0.600000 	 acc_0 	 0.934161 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 28 	 7 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.735714 	 acc_minus 	 0.628571 	 acc_0 	 0.938182 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 22 	 5 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.790909 	 acc_minus 	 0.680000 	 acc_0 	 0.957803 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 26 	 6 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.703846 	 acc_minus 	 0.783333 	 acc_0 	 0.941071 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 18 	 4 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.788889 	 acc_minus 	 0.675000 	 acc_0 	 0.983146 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 25 	 6 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.756000 	 acc_minus 	 0.716667 	 acc_0 	 0.953254 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 15 	 4 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.686667 	 acc_minus 	 0.500000 	 acc_0 	 0.996133 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 27 	 7 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.707407 	 acc_minus 	 0.685714 	 acc_0 	 0.954217 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 17 	 4 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.735294 	 acc_minus 	 0.550000 	 acc_0 	 0.984916 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 20 	 5 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.675000 	 acc_minus 	 0.500000 	 acc_0 	 0.982857 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 12 	 3 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.750000 	 acc_minus 	 0.500000 	 acc_0 	 0.997297 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 14 	 3 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.842857 	 acc_minus 	 0.733333 	 acc_0 	 0.990710 	
T 	 100 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 11 	 3 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.572727 	 acc_minus 	 0.100000 	 acc_0 	 0.978495 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 14 	 4 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.607143 	 acc_minus 	 0.350000 	 acc_0 	 0.996703 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 13 	 3 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.776923 	 acc_minus 	 0.666667 	 acc_0 	 0.994565 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 16 	 4 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.818750 	 acc_minus 	 0.725000 	 acc_0 	 0.990556 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 19 	 5 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.742105 	 acc_minus 	 0.600000 	 acc_0 	 0.989773 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 18 	 5 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.716667 	 acc_minus 	 0.540000 	 acc_0 	 0.985311 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 26 	 7 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.692308 	 acc_minus 	 0.685714 	 acc_0 	 0.948503 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 24 	 6 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.683333 	 acc_minus 	 0.716667 	 acc_0 	 0.964706 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 23 	 6 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.700000 	 acc_minus 	 0.650000 	 acc_0 	 0.965497 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 21 	 5 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.776190 	 acc_minus 	 0.640000 	 acc_0 	 0.979885 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 22 	 6 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.686364 	 acc_minus 	 0.516667 	 acc_0 	 0.976163 	
T 	 100 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 10 	 2 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.520000 	 acc_minus 	 0.150000 	 acc_0 	 0.977660 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 10 	 2 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.800000 	 acc_minus 	 0.650000 	 acc_0 	 0.994149 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 11 	 3 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.763636 	 acc_minus 	 0.566667 	 acc_0 	 0.995699 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 26 	 6 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.834615 	 acc_minus 	 0.866667 	 acc_0 	 0.979167 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 25 	 6 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.908000 	 acc_minus 	 0.883333 	 acc_0 	 0.978107 	
T 	 100 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 10 	 3 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.490000 	 acc_minus 	 0.133333 	 acc_0 	 0.981818 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 24 	 6 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.845833 	 acc_minus 	 0.850000 	 acc_0 	 0.981765 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 10 	 3 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.740000 	 acc_minus 	 0.700000 	 acc_0 	 0.995722 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 13 	 3 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.715385 	 acc_minus 	 0.633333 	 acc_0 	 0.999457 	
